"id,""name"",""parent_id"""
1,Браслети,
2,Браслет,
3,Обручки,
4,Каблучки,
5,Годинники,
6,Годинник кварцевий,
7,Годинник механічний,
8,Зажими для галстуків,
9,Запонки,
10,Ікони,
11,Кольє,
12,Кулон,
13,Кулони,
14,Пірсінг,
15,Сертифікати,
16,Столовий посуд,
17,Сувеніри,
18,Браслет на запясток,1
19,Браслет на ногу,1
20,Брелоки,
21,Брелоки-авто,
22,Брелоки-ікони,
23,Броши,
24,Брош,
25,Обручка,
26,Печатка,
27,Православні,
28,Католицькі,
29,Ланцюжок,
30,Значки,
31,Шпильки,
32,Намисто,
33,Ладанка,
34,Хрестики,
35,Шарм,
36,Шнурок,
37,Пластиковий сертифікат,
